job_array	job_index	hrs	mins	secs	mem
commands_t16	2	0	1	56	759.867M
commands_t16	3	0	0	54	1.336G
commands_t16	4	0	0	36	570.547M
commands_t16	5	0	1	51	770.047M
commands_t16	6	0	1	0	1.509G
commands_t16	7	0	0	37	576.633M
commands_t16	8	0	0	36	13.426M
commands_t16	9	0	1	8	12.746M
commands_t16	10	0	1	54	1.114G
commands_t16	11	0	1	1	1.485G
commands_t16	12	0	0	33	607.023M
commands_t16	13	0	1	55	784.363M
commands_t16	14	0	0	58	1.517G
commands_t16	15	0	0	38	663.355M
commands_t16	16	0	0	39	15.473M
commands_t16	17	0	0	55	13.922M
commands_t16	18	0	2	38	1.291G
commands_t16	19	0	1	6	1.729G
commands_t16	20	0	1	9	704.949M
commands_t16	21	0	2	4	993.672M
commands_t16	22	0	1	40	1.777G
commands_t16	23	0	0	34	650.824M
commands_t16	24	0	0	36	13.348M
commands_t16	25	0	0	58	12.695M
commands_t16	26	0	4	14	799.559M
commands_t16	27	0	4	55	585.730M
commands_t16	28	0	4	17	465.910M
commands_t16	29	0	5	52	10.988M
commands_t16	30	0	4	39	13.805M
commands_t16	31	0	2	58	1.665G
commands_t16	32	0	1	4	1.026G
commands_t16	33	0	0	53	663.641M
commands_t16	34	0	0	54	11.180M
commands_t16	35	0	1	32	13.734M
commands_t16	36	0	1	31	839.168M
commands_t16	37	0	2	14	842.137M
commands_t16	38	0	6	43	1.440G
commands_t16	39	0	1	23	11.543M
commands_t16	40	0	1	35	13.734M
