name	error rate	threads	hrs	mins	secs	mem (GB)		
atropos (adapter+worker compr)	1	4	0	1	28	1.117	1.019199	1.5
atropos (adapter+writer compr)	1	4	0	2	44	1.902	1.884	1.922
atropos (adapter+parallel write)	1	4	0	1	4	1.405	1.273	1.68
atropos (insert+worker compr)	1	4	0	1	28	1.464	0.013141	0.013297
atropos (insert+writer compr)	1	4	0	2	52	1.922	0.007746	0.007816
atropos (insert+parallel write)	1	4	0	1	4	1.436		
seqpurge	1	4	0	0	51	0.013191		
skewer	1	4	0	0	44	0.007816		
atropos (adapter+worker compr)	5	4	0	1	25	1.019199		
atropos (adapter+writer compr)	5	4	0	2	41	1.897		
atropos (adapter+parallel write)	5	4	0	0	52	1.273		
atropos (insert+worker compr)	5	4	0	1	28	1.445		
atropos (insert+writer compr)	5	4	0	2	55	1.894		
atropos (insert+parallel write)	5	4	0	1	8	1.48		
seqpurge	5	4	0	0	48	0.013297		
skewer	5	4	0	0	43	0.007754		
atropos (adapter+worker compr)	1	4	0	1	25	1.026		
atropos (adapter+writer compr)	1	4	0	2	42	1.884		
atropos (adapter+parallel write)	1	4	0	0	54	1.292		
atropos (insert+worker compr)	1	4	0	1	29	1.5		
atropos (insert+writer compr)	1	4	0	3	6	1.898		
atropos (insert+parallel write)	1	4	0	1	16	1.68		
seqpurge	1	4	0	0	44	0.013141		
skewer	1	4	0	0	55	0.007746		
atropos (insert+worker compr)	rna_q0	4	0	9	58	0.596016		
atropos (insert+writer compr)	rna_q0	4	0	13	3	2.573		
atropos (insert+parallel write)	rna_q0	4	0	8	34	2.557		
seqpurge	rna_q0	4	0	5	51	0.010766		
skewer	rna_q0	4	0	3	58	0.008109		
atropos (insert+worker compr)	wgbs_q0	4	0	1	54	2.052		
atropos (insert+writer compr)	wgbs_q0	4	0	3	5	2.534		
atropos (insert+parallel write)	wgbs_q0	4	0	2	18	1.555		
seqpurge	wgbs_q0	4	0	0	47	0.013273		
skewer	wgbs_q0	4	0	1	4	0.008086		
atropos (insert+worker compr)	wgbs_q20	4	0	1	50	2.271		
atropos (insert+writer compr)	wgbs_q20	4	0	3	30	2.578		
atropos (insert+parallel write)	wgbs_q20	4	0	1	38	1.993		
seqpurge	wgbs_q20	4	0	1	1	0.013344		
skewer	wgbs_q20	4	0	1	5	0.008102		
atropos (adapter+worker compr)	1	8	0	1	54	0.528039	0.528039	0.730242
atropos (adapter+writer compr)	1	8	0	1	47	1.737	1.737	1.951
atropos (adapter+parallel write)	1	8	0	0	34	0.526512	0.448102	1.138
atropos (insert+worker compr)	1	8	0	1	52	0.730242	0.013219	0.013258
atropos (insert+writer compr)	1	8	0	1	50	1.915	0.008676	0.008887
atropos (insert+parallel write)	1	8	0	0	42	1.036		
seqpurge	1	8	0	0	44	0.013258		
skewer	1	8	0	1	2	0.008887		
atropos (adapter+worker compr)	5	8	0	1	55	0.551211		
atropos (adapter+writer compr)	5	8	0	1	48	1.805		
atropos (adapter+parallel write)	5	8	0	0	46	0.931598		
atropos (insert+worker compr)	5	8	0	1	51	0.551562		
atropos (insert+writer compr)	5	8	0	1	46	1.855		
atropos (insert+parallel write)	5	8	0	0	52	0.991559		
seqpurge	5	8	0	0	46	0.013242		
skewer	5	8	0	0	59	0.008676		
atropos (adapter+worker compr)	1	8	0	1	53	0.533		
atropos (adapter+writer compr)	1	8	0	1	38	1.885		
atropos (adapter+parallel write)	1	8	0	0	47	0.448102		
atropos (insert+worker compr)	1	8	0	1	55	0.595219		
atropos (insert+writer compr)	1	8	0	1	46	1.951		
atropos (insert+parallel write)	1	8	0	0	52	1.138		
seqpurge	1	8	0	0	42	0.013219		
skewer	1	8	0	1	7	0.00882		
atropos (insert+worker compr)	rna_q0	8	0	5	15	1.154		
atropos (insert+writer compr)	rna_q0	8	0	6	54	5.093		
atropos (insert+parallel write)	rna_q0	8	0	5	26	1.191		
seqpurge	rna_q0	8	0	5	14	0.010875		
skewer	rna_q0	8	0	4	15	0.009258		
atropos (insert+worker compr)	wgbs_q0	8	0	1	47	0.724785		
atropos (insert+writer compr)	wgbs_q0	8	0	1	54	2.25		
atropos (insert+parallel write)	wgbs_q0	8	0	0	53	0.867926		
seqpurge	wgbs_q0	8	0	0	52	0.01343		
skewer	wgbs_q0	8	0	1	2	0.009211		
atropos (insert+worker compr)	wgbs_q20	8	0	1	43	0.809168		
atropos (insert+writer compr)	wgbs_q20	8	0	1	51	2.185		
atropos (insert+parallel write)	wgbs_q20	8	0	0	57	0.791605		
seqpurge	wgbs_q20	8	0	0	56	0.013586		
skewer	wgbs_q20	8	0	0	59	0.009223		
atropos (adapter+worker compr)	1	16	0	1	56	0.759867	0.759867	1.291
atropos (adapter+writer compr)	1	16	0	0	54	1.336	1.336	1.777
atropos (adapter+parallel write)	1	16	0	0	36	0.570547	0.570547	0.704949
atropos (insert+worker compr)	1	16	0	1	51	0.770047	0.013348	0.015473
atropos (insert+writer compr)	1	16	0	1	0	1.509	0.012695	0.013922
atropos (insert+parallel write)	1	16	0	0	37	0.576633		
seqpurge	1	16	0	0	36	0.013426		
skewer	1	16	0	1	8	0.012746		
atropos (adapter+worker compr)	5	16	0	1	54	1.114		
atropos (adapter+writer compr)	5	16	0	1	1	1.485		
atropos (adapter+parallel write)	5	16	0	0	33	0.607023		
atropos (insert+worker compr)	5	16	0	1	55	0.784363		
atropos (insert+writer compr)	5	16	0	0	58	1.517		
atropos (insert+parallel write)	5	16	0	0	38	0.663355		
seqpurge	5	16	0	0	39	0.015473		
skewer	5	16	0	0	55	0.013922		
atropos (adapter+worker compr)	1	16	0	2	38	1.291		
atropos (adapter+writer compr)	1	16	0	1	6	1.729		
atropos (adapter+parallel write)	1	16	0	1	9	0.704949		
atropos (insert+worker compr)	1	16	0	2	4	0.993672		
atropos (insert+writer compr)	1	16	0	1	40	1.777		
atropos (insert+parallel write)	1	16	0	0	34	0.650824		
seqpurge	1	16	0	0	36	0.013348		
skewer	1	16	0	0	58	0.012695		
atropos (insert+worker compr)	rna_q0	16	0	4	14	0.799559		
atropos (insert+writer compr)	rna_q0	16	0	4	55	0.58573		
atropos (insert+parallel write)	rna_q0	16	0	4	17	0.46591		
seqpurge	rna_q0	16	0	5	52	0.010988		
skewer	rna_q0	16	0	4	39	0.013805		
atropos (insert+worker compr)	wgbs_q0	16	0	2	58	1.665		
atropos (insert+writer compr)	wgbs_q0	16	0	1	4	1.026		
atropos (insert+parallel write)	wgbs_q0	16	0	0	53	0.663641		
seqpurge	wgbs_q0	16	0	0	54	0.01118		
skewer	wgbs_q0	16	0	1	32	0.013734		
atropos (insert+worker compr)	wgbs_q20	16	0	1	31	0.839168		
atropos (insert+writer compr)	wgbs_q20	16	0	2	14	0.842137		
atropos (insert+parallel write)	wgbs_q20	16	0	6	43	1.44		
seqpurge	wgbs_q20	16	0	1	23	0.011543		
skewer	wgbs_q20	16	0	1	35	0.013734		
